dataset,classifier,backbone,n_way,k_shot,n_episodes,acc,ci95
mnist,proto_cos__clip_vitb32,clip_vitb32,5,1,600,0.5656222701072693,0.00874300869716866
mnist,proto_eucl__clip_vitb32,clip_vitb32,5,1,600,0.5664000511169434,0.008730333379970465
mnist,proto_cos__dinov2_vits14,dinov2_vits14,5,1,600,0.5653555393218994,0.009180023046960034
mnist,proto_eucl__dinov2_vits14,dinov2_vits14,5,1,600,0.5675778388977051,0.009195845293312877
mnist,proto_cos__resnet50,resnet50,5,1,600,0.5596222281455994,0.008225193762768982
mnist,proto_eucl__resnet50,resnet50,5,1,600,0.5578666925430298,0.008296517668009196
mnist,linear__clip_vitb32,clip_vitb32,5,1,600,0.599577784538269,0.008639161860077326
mnist,clip_zeroshot__clip_vitb32,clip_vitb32,5,1,600,0.5960667133331299,0.00880284232638471
mnist,clip_zeroshot_ens__clip_vitb32,clip_vitb32,5,1,600,0.5698444843292236,0.008898933470494674
mnist,proto_cos__clip_vitb32,clip_vitb32,5,5,600,0.7801333665847778,0.005955672013391177
mnist,proto_eucl__clip_vitb32,clip_vitb32,5,5,600,0.7792889475822449,0.006008774998074648
mnist,proto_cos__dinov2_vits14,dinov2_vits14,5,5,600,0.75608891248703,0.006666336582092874
mnist,proto_eucl__dinov2_vits14,dinov2_vits14,5,5,600,0.7560222148895264,0.006653957525188187
mnist,proto_cos__resnet50,resnet50,5,5,600,0.7686222791671753,0.006955755513668507
mnist,proto_eucl__resnet50,resnet50,5,5,600,0.7687111496925354,0.006939728257625906
mnist,linear__clip_vitb32,clip_vitb32,5,5,600,0.8659999370574951,0.0043684434991658845
mnist,clip_zeroshot__clip_vitb32,clip_vitb32,5,5,600,0.5953333377838135,0.008857901115675217
mnist,clip_zeroshot_ens__clip_vitb32,clip_vitb32,5,5,600,0.5596221685409546,0.008888527859980415
cifar10,proto_cos__clip_vitb32,clip_vitb32,5,1,600,0.729200005531311,0.008473029794215867
cifar10,proto_eucl__clip_vitb32,clip_vitb32,5,1,600,0.7407333254814148,0.008247765512112513
cifar10,proto_cos__dinov2_vits14,dinov2_vits14,5,1,600,0.7733556032180786,0.0072182445670655225
cifar10,proto_eucl__dinov2_vits14,dinov2_vits14,5,1,600,0.7529999613761902,0.007703519536168049
cifar10,proto_cos__resnet50,resnet50,5,1,600,0.6229777336120605,0.007633198170894364
cifar10,proto_eucl__resnet50,resnet50,5,1,600,0.5711556077003479,0.008038894096804116
cifar10,linear__clip_vitb32,clip_vitb32,5,1,600,0.7686445116996765,0.00798729188038365
cifar10,clip_zeroshot__clip_vitb32,clip_vitb32,5,1,600,0.9314000606536865,0.002837288785113476
cifar10,clip_zeroshot_ens__clip_vitb32,clip_vitb32,5,1,600,0.9343556761741638,0.002736402725945142
cifar10,proto_cos__clip_vitb32,clip_vitb32,5,5,600,0.8916444778442383,0.004194885155002594
cifar10,proto_eucl__clip_vitb32,clip_vitb32,5,5,600,0.8922888040542603,0.004197816124395035
cifar10,proto_cos__dinov2_vits14,dinov2_vits14,5,5,600,0.9194889068603516,0.0037122588867582423
